占用,1到5,6到10,11到15,16到20,21到25,1到2转,3到4转,5到6转,7到8转,9转,10转,普通生肖,高级生肖,优良生肖,精品生肖,极品生肖,稀有生肖,史诗生肖,传说生肖,神话生肖,初级符宝,中级符宝,高级符宝,1阶魔饰,2阶魔饰,3阶魔饰,4阶魔饰,5阶魔饰,背包专属,顶戴花翎,剧情道具,机关洞,逆魔,蛇洞,迷失丛林,天魔狱,禁地之门,真将军陵,蛮荒戈壁,遗忘古城,天界秘境,通天塔,烈焰大厅,地下魔域,铁血魔宫,铁血幻境,生死回廊,兰若寺,荒芜之地,幽暗地穴,上古时代,亘古秘境,古皇陵墓,堕落修罗神殿,幽影地窟,洪荒妖界
占用,炼狱战斧,裁决,鬼炎,碧海天王,赤火降魔杵,破冰逆天战刃,不死裂天战刃,天罗太清玄剑,静寂荒火刀,修罗战天利剑,轮回之焰圣战甲,子鼠「普通」,子鼠「高级」,子鼠「优良」,子鼠「精品」,亥猪「极品」,亥猪「稀有」,亥猪「史诗」,亥猪「传说」,辰龙「神话」,瑞兽祥云の护符,剑胆琴心の护符,蛟川道人の护符,火种觉醒「魔饰」,寒纹生长「魔饰」,霆心凝聚「魔饰」,炽炎强化「魔饰」,冰龙护体「魔饰」,血精宝瓶,霸王别姬,天工巧技残章,屠戮毁灭の吊坠,屠戮毁灭の腰带,屠戮死亡の手套,天命断情项链,洪荒玄冥剑,「号角」幽荧号角,天命玄晶剑,「徽记」天武战将徽记,「灵佩」天地灵佩,「足迹」花影缤纷,凤舞九天战链,星辰メ乾坤斩,九头恶之刃,黑暗深渊头盔,黑暗深渊戒指,「符」九转还魂符,天晶噬魂幻焰戒,天晶噬魂幻焰链,天晶噬魂幻焰靴,天晶噬魂暗金甲,天晶噬魂唤雷戒,天晶噬魂流金甲,天晶噬魂灵墟靴,天晶噬魂唤雷链,天晶噬魂炙阳甲
占用,轻盔,中盔,盘古开天甲,伏羲裂地甲,万物之灵・甲,碎冰逆天甲,不死裂天宝甲,天罗太清玄甲,静寂荒火麟甲,修罗战天甲,轮回之焰泣血刀,丑牛「普通」,丑牛「高级」,丑牛「优良」,丑牛「精品」,子鼠「极品」,卯兔「稀有」,卯兔「史诗」,申猴「传说」,亥猪「神话」,沧海月明の护符,墨韵书香の护符,蛟川道人の宝石,冰晶觉醒「魔饰」,焰纹生长「魔饰」,火心凝聚「魔饰」,虚无强化「魔饰」,虚灵护体「魔饰」,捆仙绳,叱咤风云,公主的复信,屠戮死亡の吊坠,屠戮毁灭の靴子,屠戮死亡の戒指,碧落黄泉护腕,巅峰雷裂刀,「灵佩」无相灵佩,天命龙腾甲,龙腾九天腰带,护国将军铠甲,ZSHS10,凤舞九天头盔,剑仙情缘仙甲,九五之尊龙袍,铁血：魔王战链,太初金阳手镯,「军鼓」定远军鼓,天晶噬魂幻焰镯,天晶噬魂灵墟甲,天晶噬魂幻焰带,天晶噬魂弑神剑,天晶噬魂唤雷镯,天晶噬魂诛仙斩,天晶噬魂灵墟带,天晶噬魂魔月镯,天晶噬魂流金镯
占用,骷髅头盔,神武战甲,炙炎头盔,血月头盔,盘古王冠,碎冰逆天王冠,不死裂天圣盔,天罗太清头盔,静寂荒火冠,修罗战天盔,轮回之焰项链,寅虎「普通」,寅虎「高级」,寅虎「优良」,寅虎「精品」,丑牛「极品」,寅虎「稀有」,辰龙「史诗」,酉鸡「传说」,TSHS9,锦绣山河の护符,秋水伊人の护符,晨曦微露の宝石,虚空觉醒「魔饰」,雷纹生长「魔饰」,霜心凝聚「魔饰」,冰魄强化「魔饰」,炎龙护体「魔饰」,天芒神针,风华绝代,豪侠凭证,屠戮毁灭の头盔,天工元钺の剑,天工元钺の袍,怒火倾斜戒指,天命战力腰带,ZSHS6,ZSHS7,龙腾九天靴子,龙腾九天头盔,,凤舞九天手镯,上古神翼「普通」,天下第一「普通」,荣耀王者「普通」,铁血：魔王战带,「葫芦」镇妖葫芦,天晶噬魂幻焰盔,天晶噬魂寒霜斧,天晶噬魂灵墟戒,天晶噬魂暗金镯,天晶噬魂灵墟盔,「徽记」圣武战将徽记,天晶噬魂暗金戒,天晶噬魂魔月戒,天晶噬魂龙鳞刀
占用,天鹰项链,神武头盔,炙炎项链,血月项链,盘古吊坠,碎冰逆天项链,不死裂天战链,天罗太清项链,静寂荒火链,修罗战天链,轮回之焰头盔,卯兔「普通」,卯兔「高级」,卯兔「优良」,卯兔「精品」,寅虎「极品」,辰龙「稀有」,申猴「史诗」,戌狗「传说」,,龙凤呈祥の护符,竹韵茶香の护符,晨曦微露の护符,混沌觉醒「魔饰」,幻纹生长「魔饰」,界心凝聚「魔饰」,混沌强化「魔饰」,雷龙护体「魔饰」,山河图,国士无双,魔王之心,屠戮毁灭の刃,ZSHS2,「符」天罡破煞符,「符」紫薇星辰符,天命战力靴子,,,梧凤之鸣腰带,龙腾九天战链,,凤舞九天戒指,蓝冰之焱「普通」,永恒王者「普通」,铁血：魔王战刃,铁血：魔王战靴,ZSHS16,天晶噬魂幻焰甲,ZSHS18,天晶噬魂灵墟镯,「号角」穷奇号角,天晶噬魂灵墟链,「足迹」烈焰灼心,乾坤一掷の宝石,ZSHS24,天晶噬魂流金戒
占用,坚固手套,神武项链,炙炎手镯,血月手镯,盘古护腕,碎冰逆天手镯,不死裂天手镯,天罗太清手镯,静寂荒火腕,修罗战天镯,轮回之焰手镯,辰龙「普通」,辰龙「高级」,辰龙「优良」,辰龙「精品」,卯兔「极品」,子鼠「稀有」,酉鸡「史诗」,辰龙「传说」,,竹影清风の护符,琴瑟和鸣の护符,落日余晖の宝石,神火觉醒「魔饰」,沌纹生长「魔饰」,神心凝聚「魔饰」,焚天强化「魔饰」,沌灵护体「魔饰」,灵兽の铠,横扫千军,魔王之力,屠戮湮灭の吊坠,,「军鼓」振威军鼓,「军鼓」游骑军鼓,天命战力头盔,,,梧凤之鸣靴子,洪荒破日刀,,凤舞九天腰带,风雨同舟の宝石,ZSHS13,太初金阳头盔,铁血：魔君剑,,天晶噬魂金阳斧,,天晶噬魂唤雷甲,「灵佩」伐宇灵佩,天晶噬魂魔月甲,「徽记」威武极天徽记,ZSHS23,,ZSHS25
占用,骷髅戒指,神武手镯,炙炎戒指,血月戒指,盘古戒指,碎冰逆天戒指,不死裂天戒指,天罗太清戒指,静寂荒火戒,修罗战天戒,轮回之焰戒指,巳蛇「普通」,巳蛇「高级」,巳蛇「优良」,巳蛇「精品」,辰龙「极品」,丑牛「稀有」,戌狗「史诗」,巳蛇「传说」,,松涛听海の护符,诗酒年华の护符,落日余晖の护符,风源觉醒「魔饰」,灵纹生长「魔饰」,源心凝聚「魔饰」,霹雳强化「魔饰」,神龙护体「魔饰」,彼岸之花,金戈铁马,魔王之魂,天工元钺の手镯,,「葫芦」镔铁葫芦,「葫芦」道法葫芦,天命战力项链,,,ZSHS8,龙腾九天手镯,,凤舞九天靴子,神魔之翼「普通」,,太初金阳宝甲,太初金阳戒指,,ZSHS17,,天晶噬魂裂天斩,「灵佩」讨宙灵佩,天晶噬魂战天刃,「足迹」热情似火,,,
占用,鹿皮腰带,神武戒指,炙炎腰带,血月腰带,盘古腰带,碎冰逆天腰带,不死裂天腰带,天罗太清腰带,静寂荒火带,修罗战天带,轮回之焰腰带,午马「普通」,午马「高级」,午马「优良」,午马「精品」,巳蛇「极品」,巳蛇「稀有」,寅虎「史诗」,卯兔「传说」,,梅雪飘香の护符,古今一梦の护符,碧海青天の宝石,TSHS13,TSHS14,TSHS15,TSHS16,TSHS17,灵兽の魂,舍我其谁,魔王之眼,天工元钺の戒,,「军鼓」昭武军鼓,喜气盈盈「普通」,天命战力手镯,,,,龙腾九天戒指,,督军将军铠甲,ZSHS12,,太初金阳项链,太初玄玉宝甲,,,,ZSHS19,「号角」勾陈号角,ZSHS21,ZSHS22,,,
占用,鹿皮靴子,神武腰带,炙炎靴子,血月靴子,盘古长靴,碎冰逆天靴子,不死裂天战靴,天罗太清靴子,静寂荒火靴,修罗战天靴,轮回之焰靴子,未羊「普通」,未羊「高级」,未羊「优良」,未羊「精品」,午马「极品」,申猴「稀有」,午马「史诗」,丑牛「传说」,,兰心蕙质の护符,剑胆琴心の宝石,碧海青天の护符,,,,,,金蛟剪,唯我独尊,无相天书,ZSHS1,,「符」金光护体符,冰霜之翼「普通」,天命战力戒指,,,,「徽记」神武战将徽记,,监国将军铠甲,,,太初金阳腰带,ZSHS15,,,,,ZSHS20,,,,,
占用,血剑,神武战靴,雷裂刀,赤明天帝,九重天仙刃,霜岚天阳刃,神锋日月乾坤剑,神赐王者战刃,苍穹巨阙夜の刃,ZBHS10,ZBHS11,申猴「普通」,申猴「高级」,申猴「优良」,申猴「精品」,未羊「极品」,酉鸡「稀有」,未羊「史诗」,TSHS8,,瑞兽祥云の宝石,墨韵书香の宝石,岁月静好の宝石,,,,,,真理之眼,TSHS19,黑暗之戒,,,ZSHS3,红莲之歌「普通」,天命幻焰甲,,,,ZSHS9,,三尖灭鬼刃,,,太初金阳靴子,,,,,,,,,,,
占用,重盔,雷霆怒斩,软猬甲,神炎天月甲,天边七彩仙袍,霜岚天阳甲,神锋日月乾坤甲,神赐王者战甲,苍穹巨阙甲,,,酉鸡「普通」,酉鸡「高级」,酉鸡「优良」,酉鸡「精品」,申猴「极品」,戌狗「稀有」,子鼠「史诗」,,,沧海月明の宝石,秋水伊人の宝石,岁月静好の护符,,,,,,药王的药臼,,三清铃,,,,铃儿响叮当「普通」,天命断情手镯,,,,,,梧凤之鸣手镯,,,ZSHS14,,,,,,,,,,,
占用,星王冠,蟠龙战甲,怒涛头盔,神炎天月盔,天怒☆盔,霜岚天阳盔,神锋日月乾坤の盔,神赐王者战盔,苍穹巨阙の盔,,,戌狗「普通」,戌狗「高级」,戌狗「优良」,戌狗「精品」,酉鸡「极品」,午马「稀有」,丑牛「史诗」,,,锦绣山河の宝石,竹韵茶香の宝石,锦绣前程の宝石,,,,,,TSHS18,,金钱剑,,,,「葫芦」黄金葫芦,天命断情戒指,,,,,,梧凤之鸣戒指,,,,,,,,,,,,,,
占用,翡翠项链,战神头盔,怒涛项链,神炎天月链,天怒☆链,霜岚天阳链,神锋日月乾坤の链,神赐王者战链,苍穹巨阙の链,,,亥猪「普通」,亥猪「高级」,亥猪「优良」,亥猪「精品」,戌狗「极品」,未羊「稀有」,巳蛇「史诗」,,,龙凤呈祥の宝石,琴瑟和鸣の宝石,锦绣前程の护符,,,,,,,,八卦镜,,,,ZSHS4,ZSHS5,,,,,,邪神巨翼「普通」,,,,,,,,,,,,,,
占用,死神手套,战神项链,怒涛手镯,神炎天月镯,天怒☆镯,霜岚天阳镯,神锋日月乾坤の镯,神赐王者战镯,苍穹巨阙の镯,,,TSHS1,TSHS2,TSHS3,TSHS4,TSHS5,TSHS6,TSHS7,,,竹影清风の宝石,诗酒年华の宝石,风雨同舟の宝石,,,,,,,,无极剑道第一篇,,,,,,,,,,,「号角」烛照号角,,,,,,,,,,,,,,
占用,珊瑚戒指,战神手镯,怒涛戒指,神炎天月戒,天怒☆戒,霜岚天阳戒,神锋日月乾坤の戒,神赐王者战戒,苍穹巨阙の指,,,,,,,,,,,,松涛听海の宝石,古今一梦の宝石,天地人和の宝石,,,,,,,,无极剑道第二篇,,,,,,,,,,,「足迹」步步生财,,,,,,,,,,,,,,
占用,铁腰带,战神戒指,怒涛腰带,神炎天月带,天怒☆带,霜岚天阳带,神锋日月乾坤の带,神赐王者战带,苍穹巨阙の带,,,,,,,,,,,,梅雪飘香の宝石,TSHS11,霸天破日の宝石,,,,,,,,无极剑道第三篇,,,,,,,,,,,ZSHS11,,,,,,,,,,,,,,
占用,铁靴子,战神腰带,怒涛靴子,神炎天月靴,天怒☆靴,霜岚天阳靴,神锋日月乾坤の靴,神赐王者战靴,苍穹巨阙の靴,,,,,,,,,,,,兰心蕙质の宝石,,苍穹霸主の宝石,,,,,,,,无极剑道第四篇,,,,,,,,,,,,,,,,,,,,,,,,,
占用,井中月,战神靴子,轩辕剑,无赦,离火三尖戟,ZBHS6,ZBHS7,ZBHS8,ZBHS9,,,,,,,,,,,,TSHS10,,风雨同舟の护符,,,,,,,,镇塔符石,,,,,,,,,,,,,,,,,,,,,,,,,
占用,战神盔甲,屠龙刀,御龙战甲,凌波战天甲,山海离火甲,,,,,,,,,,,,,,,,,,天地人和の护符,,,,,,,,天道内丹,,,,,,,,,,,,,,,,,,,,,,,,,
占用,记忆头盔,蟠龙战袍,千年神盔,凌波战天盔,离火千魂冠,,,,,,,,,,,,,,,,,,乾坤一掷の护符,,,,,,,,血魔内丹,,,,,,,,,,,,,,,,,,,,,,,,,
占用,幽冥项链,血煞头盔,千年神链,凌波战天链,离火千魂链,,,,,,,,,,,,,,,,,,TSHS12,,,,,,,,心魔内丹,,,,,,,,,,,,,,,,,,,,,,,,,
占用,阎罗手套,血煞项链,千年神镯,凌波战天镯,离火千魂腕,,,,,,,,,,,,,,,,,,,,,,,,,,万魔内丹,,,,,,,,,,,,,,,,,,,,,,,,,
占用,龙戒,血煞手镯,千年神戒,凌波战天戒,离火千魂戒,,,,,,,,,,,,,,,,,,,,,,,,,,古魔内丹,,,,,,,,,,,,,,,,,,,,,,,,,
占用,寒星腰带,血煞戒指,千年神带,凌波战天带,离火千魂带,,,,,,,,,,,,,,,,,,,,,,,,,,炎魔内丹,,,,,,,,,,,,,,,,,,,,,,,,,
占用,寒星靴子,血煞腰带,千年神靴,凌波战天靴,离火千魂靴,,,,,,,,,,,,,,,,,,,,,,,,,,离别之吻,,,,,,,,,,,,,,,,,,,,,,,,,
占用,命运之刃,血煞靴子,倚天剑,镇海战刃,修罗耀阳斩,,,,,,,,,,,,,,,,,,,,,,,,,,决死限界,,,,,,,,,,,,,,,,,,,,,,,,,
占用,金鹏宝甲,圣武之剑,倚天神甲,镇海凌天甲,轮回耀阳甲,,,,,,,,,,,,,,,,,,,,,,,,,,绮夜雪花,,,,,,,,,,,,,,,,,,,,,,,,,
占用,黑铁头盔,圣武天战甲,鎏金圣阳盔,镇海凌天头盔,轮回耀阳王冠,,,,,,,,,,,,,,,,,,,,,,,,,,冰结之镜,,,,,,,,,,,,,,,,,,,,,,,,,
占用,绿色项链,蟠龙傲天头盔,鎏金圣阳链,镇海凌天项链,轮回耀阳吊坠,,,,,,,,,,,,,,,,,,,,,,,,,,魔魂草,,,,,,,,,,,,,,,,,,,,,,,,,
占用,骑士手镯,蟠龙傲天项链,鎏金圣阳镯,镇海凌天手镯,轮回耀阳护腕,,,,,,,,,,,,,,,,,,,,,,,,,,元素之力,,,,,,,,,,,,,,,,,,,,,,,,,
占用,力量戒指,蟠龙傲天手镯,鎏金圣阳戒,镇海凌天戒指,轮回耀阳指环,,,,,,,,,,,,,,,,,,,,,,,,,,潜能宝玉,,,,,,,,,,,,,,,,,,,,,,,,,
占用,雷霆腰带,蟠龙傲天戒指,鎏金圣阳带,镇海凌天腰带,轮回耀阳战带,,,,,,,,,,,,,,,,,,,,,,,,,,山海秘术,,,,,,,,,,,,,,,,,,,,,,,,,
占用,雷霆战靴,蟠龙傲天腰带,鎏金圣阳靴,镇海凌天靴子,轮回耀阳战靴,,,,,,,,,,,,,,,,,,,,,,,,,,仙人之下我无敌,,,,,,,,,,,,,,,,,,,,,,,,,
占用,铜锤,蟠龙傲天靴子,圣屠龙,怒狂降魔杵,荒古游龙剑,,,,,,,,,,,,,,,,,,,,,,,,,,赏善罚恶令,,,,,,,,,,,,,,,,,,,,,,,,,
占用,天魔战甲,冥日战刃,战魂烈日甲,山海封魔甲,荒古撼天甲,,,,,,,,,,,,,,,,,,,,,,,,,,命运齿轮,,,,,,,,,,,,,,,,,,,,,,,,,
占用,圣战头盔,战神神甲,战魂烈日盔,龙魂吞日盔,荒古游龙の冠,,,,,,,,,,,,,,,,,,,,,,,,,,聚气丹,,,,,,,,,,,,,,,,,,,,,,,,,
占用,圣战项链,圣天头盔,战魂烈日链,龙魂吞日链,荒古游龙の链,,,,,,,,,,,,,,,,,,,,,,,,,,时间裂缝证明,,,,,,,,,,,,,,,,,,,,,,,,,
占用,圣战手镯,圣天项链,战魂烈日镯,龙魂吞日镯,荒古游龙の腕,,,,,,,,,,,,,,,,,,,,,,,,,,时空主宰的信物,,,,,,,,,,,,,,,,,,,,,,,,,
占用,圣战戒指,圣天手镯,战魂烈日戒,龙魂吞日戒,荒古游龙の戒,,,,,,,,,,,,,,,,,,,,,,,,,,开悟之书,,,,,,,,,,,,,,,,,,,,,,,,,
占用,圣战腰带,圣天戒指,战魂烈日带,龙魂吞日带,荒古游龙の带,,,,,,,,,,,,,,,,,,,,,,,,,,TSHS20,,,,,,,,,,,,,,,,,,,,,,,,,
占用,圣战靴子,圣天腰带,战魂烈日靴,龙魂吞日靴,荒古游龙の靴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
占用,修罗战斧,圣天靴子,ZBHS3,ZBHS4,ZBHS5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END,ZBHS1,ZBHS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
